student_id,year,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
13898,2019,Fall,Reading,161,59,3,18
27795,2019,Fall,Reading,158,50,3,19
22938,2019,Fall,Reading,162,62,3,18
22431,2019,Fall,Reading,162,62,3,18
18048,2019,Fall,Reading,166,73,3,17
20392,2019,Fall,Reading,.,.,.,.
14407,2019,Fall,Reading,151,29,2,20
25452,2019,Fall,Reading,183,97,4,13
19819,2019,Fall,Reading,165,70,3,17
24621,2019,Fall,Reading,183,97,4,13
10241,2019,Fall,Reading,161,59,3,18
26151,2019,Fall,Reading,164,68,3,18
25649,2019,Fall,Reading,153,34,2,20
20881,2019,Fall,Reading,180,96,4,14
22326,2019,Fall,Reading,165,70,3,17
26626,2019,Fall,Reading,151,29,2,20
28196,2019,Fall,Reading,162,62,3,18
15104,2019,Fall,Reading,161,59,3,18
23974,2019,Fall,Reading,164,68,3,18
18086,2019,Fall,Reading,168,78,4,17
22734,2019,Fall,Reading,164,68,3,18
29075,2019,Fall,Reading,163,65,3,18
26962,2019,Fall,Reading,188,99,4,12
18109,2019,Fall,Reading,169,80,4,16
29387,2019,Fall,Reading,150,26,2,21
12367,2019,Fall,Reading,171,84,4,16
11465,2019,Fall,Reading,153,34,2,20
28217,2019,Fall,Reading,182,97,4,14
20470,2019,Fall,Reading,164,68,3,18
20048,2019,Fall,Reading,167,76,4,17
27878,2019,Fall,Reading,160,56,3,18
19127,2019,Fall,Reading,175,91,4,15
22331,2019,Fall,Reading,163,65,3,18
25826,2019,Fall,Reading,153,34,2,20
22917,2019,Fall,Reading,151,29,2,20
25379,2019,Fall,Reading,172,86,4,16
11466,2019,Fall,Reading,.,.,.,.
11519,2019,Fall,Reading,168,78,4,17
26048,2019,Fall,Reading,155,40,2,20
14712,2019,Fall,Reading,185,98,4,13
19016,2019,Fall,Reading,193,99,4,11
22820,2019,Fall,Reading,178,94,4,14
22276,2019,Fall,Reading,.,.,.,.
17371,2019,Fall,Reading,183,97,4,13
23439,2019,Fall,Reading,172,86,4,16
27828,2019,Fall,Reading,.,.,.,.
17490,2019,Fall,Reading,162,62,3,18
15616,2019,Fall,Reading,161,59,3,18
20234,2019,Fall,Reading,145,15,1,22
