student_id,school_name,grade_level_2019,program_name,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
13898,School G,1,SPED,Fall,Math,166,69,3,20
13898,School G,1,SPED,Spring,Math,186,65,3,
27795,School G,1,SPED,Fall,Math,135,4,1,27
27795,School G,1,SPED,Spring,Math,182,53,3,
22938,School E,1,,Fall,Math,160,52,3,21
22938,School E,1,,Spring,Math,180,48,2,
22431,School F,1,,Fall,Math,164,64,3,20
22431,School F,1,,Spring,Math,180,48,2,
18048,School E,1,,Fall,Math,151,28,2,23
18048,School E,1,,Spring,Math,163,10,1,
20392,School G,1,SPED,Fall,Math,,,,
20392,School G,1,SPED,Spring,Math,160,6,1,
14407,School E,1,SPED,Fall,Math,167,72,3,19
14407,School E,1,SPED,Spring,Math,157,4,1,
25452,School F,1,,Fall,Math,176,89,4,17
25452,School F,1,,Spring,Math,204,96,4,
19819,School G,1,,Fall,Math,159,50,3,21
19819,School G,1,,Spring,Math,186,65,3,
24621,School E,1,,Fall,Math,171,81,4,18
24621,School E,1,,Spring,Math,181,51,3,
10241,School F,1,,Fall,Math,162,58,3,21
10241,School F,1,,Spring,Math,183,56,3,
26151,School G,1,,Fall,Math,177,90,4,17
26151,School G,1,,Spring,Math,196,87,4,
25649,School E,1,,Fall,Math,159,50,3,21
25649,School E,1,,Spring,Math,176,36,2,
20881,School G,1,,Fall,Math,174,86,4,18
20881,School G,1,,Spring,Math,202,94,4,
22326,School F,1,,Fall,Math,161,55,3,21
22326,School F,1,,Spring,Math,222,99,4,
26626,School F,1,SPED,Fall,Math,162,58,3,21
26626,School F,1,SPED,Spring,Math,,,,
28196,School G,1,,Fall,Math,159,50,3,21
28196,School G,1,,Spring,Math,177,39,2,
15104,School E,1,,Fall,Math,156,41,2,22
15104,School E,1,,Spring,Math,171,24,1,
23974,School G,1,,Fall,Math,174,86,4,18
23974,School G,1,,Spring,Math,203,95,4,
18086,School F,1,,Fall,Math,168,74,3,19
18086,School F,1,,Spring,Math,187,68,3,
22734,School E,1,,Fall,Math,167,72,3,19
22734,School E,1,,Spring,Math,189,73,3,
29075,School G,1,,Fall,Math,177,90,4,17
29075,School G,1,,Spring,Math,194,83,4,
26962,School E,1,,Fall,Math,172,83,4,18
26962,School E,1,,Spring,Math,184,59,3,
18109,School E,1,,Fall,Math,162,58,3,21
18109,School E,1,,Spring,Math,183,56,3,
29387,School G,1,,Fall,Math,153,33,2,23
29387,School G,1,,Spring,Math,174,31,2,
12367,School F,1,,Fall,Math,168,74,3,19
12367,School F,1,,Spring,Math,189,73,3,
11465,School F,1,,Fall,Math,161,55,3,21
11465,School F,1,,Spring,Math,172,26,2,
28217,School E,1,,Fall,Math,176,89,4,17
28217,School E,1,,Spring,Math,187,68,3,
20470,School G,1,,Fall,Math,172,83,4,18
20470,School G,1,,Spring,Math,188,70,3,
20048,School E,1,,Fall,Math,158,47,2,22
